"year" "AL" "AK" "AZ" "AR" "CA" "CO" "CT" "FL" "GA" "HI" "ID" "IL" "IN" "IA" "KS" "KY" "ME" "MD" "MA" "MI" "MN" "MO" "MT" "NE" "NV" "NH" "NM" "NY" "NC" "ND" "OH" "OK" "OR" "PA" "RI" "SC" "SD" "TN" "TX" "UT" "VT" "VA" "WA" "WV" "WI" "WY"
1970 11.2909312529125 8.24433404785609 11.0756600443123 10.0287095172895 12.8982893933718 9.47000869797276 8.14786712992395 8.02649693894541 10.1822550075983 7.03085747611612 11.2153277277311 7.46565531013406 8.55622157838371 9.19176898639075 4.26267987704132 10.4134027620008 10.3070174560098 9.90393745131649 8.9751242394277 9.7913261856478 9.14622842650894 9.18327745242649 11.4270298289465 9.57380223260389 9.75678407334392 9.4731660684291 6.5366915975913 12.4794681492235 10.7341332462817 10.2933651373026 4.35670882668959 9.59906615608005 12.6568329285529 9.57052913521471 3.55534806148941 10.0884722267496 11.1423978717425 11.3463512651439 9.26388113890421 8.95879734614027 9.01724094201035 8.88930831984285 13.5002517177423 9.25426155903411 9.90248705220255 9.26501793326688
1971 11.5532417316317 8.2445967563825 11.1506635141627 9.84675845829004 12.9210547006976 9.71788060475064 8.31825432879885 7.88269220628903 10.4516089610458 6.84161547647759 11.2678430061373 7.26473017792987 8.414717399827 9.16586588187435 4.31748811353631 10.5201045991061 10.1584010519391 9.82962570393767 8.9085593751449 9.83161554029833 9.23649532945303 8.90490157793514 11.5182015220706 9.56402083693459 9.77463093041112 9.3461815948876 5.65248918026865 12.4929644057675 11.0349057929294 10.4311702933685 4.53259949315326 9.58107599956325 12.7940481814839 9.0068768914288 2.63905732961526 10.5054784140542 11.3083214887355 11.499830093658 9.12913031655064 9.24106354461902 8.95905451471569 9.37339415841248 13.5279724751455 9.39366142910322 10.058908853354 9.52864863796972
1972 11.5731829605806 8.1870210673435 11.1620337657872 9.74443320268052 12.705595634492 9.46521512145185 8.62766064444221 7.81278281857758 10.4671238189344 6.84694313958538 11.3072288272597 7.350516171834 8.29354951506035 9.24086957701101 3.87120101090789 10.5745680447468 10.2241207251276 10.0727238697814 9.09582698518742 9.83134687475845 9.28822691063325 8.75683981482946 11.4929676256293 9.56381018496597 9.69412362463029 9.48630405147376 5.34710753071747 12.5723533064941 11.1096978518023 10.3772964326228 4.52178857704904 9.61713792531813 12.8442487242206 9.67508017154682 4.12713438504509 10.4557621742147 11.2533901951213 11.657337448691 9.06126014896203 9.44864835981016 9.1874810778301 9.58939305613251 13.5767265803651 9.4678467019179 10.1283496263443 9.40648264778745
1973 11.7168617317366 7.9973268229981 11.222225509955 10.695846383167 12.9057435005774 9.49649628043192 8.44333134281778 7.79605797431612 10.691217375582 6.89264164117209 11.3621839672721 7.19967834569117 8.51398806046729 9.15005944109125 3.46573590279973 10.5895849416085 10.3783854353596 10.0208260449534 8.66905554072548 9.30082072510456 9.30355745368732 9.94549284668116 11.2660141857279 9.56402083693459 9.76077125033453 9.72669070638487 6.51471269087253 12.6282867035963 11.2104410429706 10.1165403631402 4.45434729625351 10.5731869703585 12.5860353132259 9.56493314971059 3.85014760171006 10.6114494512341 10.8247658259213 11.6866770710811 9.77922733515544 9.35331454092729 9.30610499396056 9.52471305968101 13.4828380930581 9.41033811378308 10.1420712883382 9.43843166301433
1974 11.5923833863049 8.13358741766097 11.2551257670003 10.7054891380082 13.0913679437018 9.60062415808868 8.40514368760761 7.87283617502572 10.5493596705802 6.86484777797086 11.524260974634 7.17011954344963 8.44397712908498 9.1381996941985 4.24849524204936 10.4767808046206 10.3221649921164 9.93119999110266 8.4040244933106 9.42116839756774 9.16805897971958 9.79166173735387 11.5282376330718 9.51111140896968 9.72382246420338 9.63547737988181 6.64118216974059 12.6144136143838 11.1836989148479 10.2576944533605 4.61512051684126 10.5318028355945 12.8372273942479 9.58472752451349 3.85014760171006 10.4935494050127 10.9871553938184 11.7188903035117 9.74302533009507 9.19299073364107 9.24493501674068 9.3350328159335 13.66627594114 9.39141114686849 9.95683872803312 9.59791302724276
1975 11.7526193016221 8.21959545417708 11.231675992249 10.4834380390778 12.9415822335649 9.66001373474867 8.54383512236266 7.79893331004122 10.7167040421255 6.83410873881384 11.5797239305086 7.14991683613211 8.43879912398823 9.12063445889169 3.87120101090789 10.4922459673585 10.229873377617 10.0878486946279 8.37609035043824 9.35470042248302 9.16314393714521 9.49664649824803 11.5691545582367 9.44335504308566 9.77468780514454 9.47370413677676 6.49223983502047 12.5938115690421 11.2039107954151 10.4575450646941 4.34380542185368 10.3302574271381 12.7928866152955 9.70515855759636 3.58351893845611 10.7347866844788 11.3203596141202 11.7187356578331 9.90608417838339 9.32197118814737 9.18615013317497 9.52054196585783 13.6774695838733 9.31090942689788 9.96142621745657 9.36366213691983
1976 11.4938547697464 8.28853445941392 11.2722796385199 9.95108653133541 12.3907996402705 9.50002044709064 8.28803156777646 7.89655270164304 10.7357225352463 6.86901445066571 11.5860736910007 7.20414929203594 8.5115774526306 8.80866806210672 3.98898404656427 10.3971466713802 10.3764555337459 9.98336101511929 8.53385363230935 9.29560021592701 8.71522404191537 8.9459841248279 11.7648430446521 9.490997829491 9.68812614166397 9.66256183142612 6.67203294546107 12.608897604844 10.9790359016057 10.4322611436028 4.44265125649032 9.67946861818596 12.8132070412504 9.59458184363272 3.52636052461616 10.4749754444687 11.2002127227932 11.4955453011387 9.31289696030128 9.36879605766816 9.33273498018979 9.12782795040172 13.7951057894174 9.27265767804104 9.74870333873526 9.28933637820268
1977 11.5903123413516 8.58354257195777 11.1395838286903 9.835422821622 11.9097332059872 9.32250766884693 8.41116578677071 7.83873755959928 10.647161483764 6.79682371827486 11.1623461903463 7.2086003379602 8.26821888006751 9.0040539377284 3.49650756146648 10.4507993848725 10.363188288786 9.95479834677056 8.39117635083275 9.18152929012206 8.85237888651199 8.46358142196759 11.388246204926 9.45234493093131 9.73352925472557 9.59233212389871 5.67332326717149 12.4985631389743 10.918120227409 9.94328502241019 4.11087386417331 9.81213951307682 12.4468792820499 9.43930693659318 3.61091791264422 10.3681959366849 10.9194607101834 11.5943395395824 9.40910926014874 8.9743648418466 9.21044036697652 8.9157008189569 13.4518829285977 9.1942109900463 9.85235214042136 8.98105298590148
1978 11.3118002217725 8.49474306257865 11.1946604660407 10.1300652005846 12.8622679372075 9.5409382454048 8.22228507387272 7.76768727718691 10.5690065659786 6.76619171466035 11.5353618757137 7.19443685110033 8.22603842948548 9.17357264778397 3.89182029811063 10.4031713358833 10.2851038586123 9.79707092383164 7.70300768247924 9.32750099174976 9.32411538623503 9.2621735206162 11.7060880449421 9.41759841406017 9.75632076181655 9.36888140010473 5.74300318780948 12.5067363409126 10.9473268153569 10.3557408221431 3.89182029811063 9.81285143227668 12.7087673023962 8.97144846369383 3.73766961828337 10.4111180774056 11.1672893681467 11.4186807173914 8.97752520096524 8.93603509656604 9.11107237031751 9.49762236440662 13.7333879387736 9.16732848138289 10.1089965246385 9.22798380714878
1979 11.7188251924566 8.46526811855132 11.226882049187 10.461387583688 12.7690257156822 9.72226539118547 8.47156801338996 7.82124208352356 10.7335665875912 6.83625927727707 11.4604209109881 7.20414929203594 8.42068229103539 9.13733947909169 3.63758615972639 10.6162902907545 10.2708353385312 10.0294151091339 8.42002127966396 9.51222116382778 9.1583099638818 9.34013980951103 11.5814809074657 9.46490506796514 9.78532319418549 9.43699774259019 6.55393340402581 12.5215437512223 11.3139988033521 10.2515000858962 3.8286413964891 10.0878486946279 12.6417565322223 9.44549154241467 3.55534806148941 10.6209126255556 11.0949676469002 11.7551105697236 9.42931524641817 9.02437217426203 9.17201525765451 9.67890546702757 13.620925308558 9.45360022687522 10.0751272609832 9.29697667863573
1980 11.4899945496795 8.63034328934889 11.5344031591465 9.77599503202085 12.9565873847244 9.78886202669482 7.88570539124302 7.70930833338587 10.7351350103412 6.8001700683022 11.5004479434591 7.27100853828099 8.50268850521336 9.19299073364107 4.45434729625351 10.3267270887435 10.1308621403782 9.48713842782588 7.40367029001237 9.43059976811053 9.00810178134187 8.66509582133973 11.5475394294863 9.53784393861464 10.1122481634829 9.27481639116055 6.88448665204278 12.5245845567744 10.9506661860894 10.1699587565855 4.14313472639153 9.52186103390781 12.6569922017578 8.93958096672031 2.56494935746154 10.355231738165 11.0093402328597 11.4191091687659 9.2272958126256 9.05169627853659 9.04180337015285 9.13389119981278 13.6685881908262 9.35625724687634 9.99743316537866 9.35105837891506
