"year" "AL" "AK" "AZ" "AR" "CA" "CO" "CT" "DE" "FL" "GA" "HI" "ID" "IL" "IN" "IA" "KS" "KY" "LA" "ME" "MD" "MA" "MI" "MN" "MS" "MO" "MT" "NE" "NV" "NH" "NJ" "NM" "NY" "NC" "ND" "OH" "OK" "OR" "PA" "RI" "SC" "SD" "TN" "TX" "UT" "VT" "VA" "WA" "WV" "WI" "WY" "DC"
1982 12.9957429063968 11.9134718292007 12.5372559202178 12.5488925501543 14.8716825294452 12.6402774502779 12.9833104835948 11.7115057953226 14.1638577220018 13.3742296533893 12.2246784785223 11.4729156405505 13.9724228496004 13.3676346939226 12.7364449814959 12.7315760221222 12.9725492809922 14.3406969702204 12.3477371247599 13.0651515503732 13.5904050833365 13.5226202796569 13.0556956577983 12.659232079501 13.2072723792847 11.7765274247153 12.1282083966247 11.7629368224007 11.6520176178691 13.991178360886 12.1437024385661 14.389962599528 13.3059574575303 11.7189147190644 13.9369216708485 13.0029445044955 12.7416240520681 13.9913083814085 11.4091414837065 12.6432624933326 11.4897387179949 13.0893690003282 15.2124688566456 12.0242689546205 10.8800075339598 13.3115910321124 13.2743906615647 12.168059203332 12.98891198158 11.9050418743087 10.7312311833453
1983 12.9376950691419 12.0780347076435 12.5749463807384 12.5598303384269 14.9074848638922 12.6762106407484 12.9672335517035 11.7195249142237 14.164468804632 13.4383938110715 12.2326512833344 11.5199010787067 13.9978746138551 13.3642219059142 12.6748161060968 12.7533439818482 13.0175760307871 14.2677472864158 12.0884146020619 13.0946550220295 13.5274257377538 13.5244828952614 13.0417279941333 12.6392242540544 13.1748723325768 11.9058928002484 12.1852524006368 11.8405083077455 11.633797059448 13.979416924526 12.2484853741618 14.2896070500084 13.368044635801 11.7303245483769 13.9196065744799 13.0443542672357 12.6393053085409 14.0206400255842 11.4364439088628 12.6895198782296 11.4358716195279 13.0769328632852 15.2068347482583 12.0834585842385 10.9674048714074 13.3503798367937 13.1693232962676 12.1974354521345 12.9746101899138 11.6507028306795 10.6868410009822
1984 12.9375771858919 12.2101841815699 12.6507264149959 12.4821691132971 14.9832657513082 12.6940758068843 13.0531740580513 11.7690859100991 14.0924845025072 13.4984669571445 12.2835566980202 11.5004681943679 13.9117067088167 13.4803790222019 12.6541820866906 12.9257254283674 13.0354079988468 14.1988186694225 12.242554033232 13.157734382238 13.5970958082232 13.5700728280161 13.1006084456013 12.6516458934249 13.1944012082935 11.8557347230473 12.1418274147121 11.8183860587737 11.8101592739955 14.0566354712342 12.2192751082079 14.271611110791 13.4672345298925 11.715890798463 13.9103579034046 13.0317535336924 12.6815332334567 14.0598267780313 11.5358799825824 12.7599979878325 11.4429642676643 13.1605893652131 15.2580505553583 12.0787902585641 11.092869425057 13.4183915242808 13.3031904847314 12.2049269895169 12.9971991677831 11.6576749488564 10.7636522786302
1985 12.9242879779129 12.3759335565988 12.6671742692377 12.4831360388338 14.9555702455465 12.6976879265648 13.0162270052922 11.7201184801493 14.0966784591987 13.5566504467741 12.355026990622 11.5329045472855 13.9032768998961 13.4767428888525 12.6588188432193 12.8860104653636 13.0054632019122 14.1765701751583 12.2507113471486 13.0912503479772 13.583973126399 13.6090729323466 13.0856807206592 12.6619710116339 13.2154109995544 11.9305496839022 12.1517642840768 11.8186365339411 11.7756435130028 13.9912479868812 12.1482263480937 14.3322015467967 13.4519965666778 11.6802095231875 13.8942404042123 13.0366442560018 12.6696053836456 14.0173798076006 11.6481990890278 12.7543876769122 11.475015891897 13.1935280222168 15.255809085735 12.0675631684928 11.1342093901546 13.4350872697592 13.3173049655544 12.1782028660862 12.9890056839789 11.6747381451326 10.5847139622004
1986 12.9607922339096 12.5175640137336 12.7209390941557 12.4823511942553 14.9749429003312 12.7191387575269 13.0629827315289 11.7601058041127 14.2233348809352 13.5327258073651 12.3354284575392 11.5516556732303 13.9239137400144 13.5388752447713 12.6721215903093 12.880126197395 13.0185838335739 14.2409083502703 12.411903187875 13.0939433265393 13.7136527894078 13.6520570742597 13.1113772502994 12.7248098897274 13.2390738380577 11.8009274862329 12.1645472787016 11.8632653849511 11.9585979787776 14.0567635392188 12.1478501363298 14.3995635948771 13.5023534002035 11.687743943943 13.8821649640377 12.9301248092021 12.6913650534979 14.0640801114096 11.7007982518025 12.7705451917269 11.5091383027156 13.2209771851248 15.2855854784319 12.1454730234012 11.1446694326443 13.5165545056891 13.424139165222 12.1170173630062 12.9991443434452 11.6180959625758 10.783549889803
1987 13.0407823204113 12.3517864058622 12.7425835597505 12.4814632362725 15.015864722905 12.7185758613514 13.050779294484 11.7857197624279 14.2008838369614 13.5821070528687 12.3410186621023 11.5646541645552 13.9669389643367 13.5909247170503 12.6439984900603 12.8917570487088 13.0862137835328 14.2257422876601 12.366531955467 13.1544490814261 13.6718826523739 13.6884007882278 13.0970106970171 12.7650167793851 13.2768288648173 11.8003350002871 12.2096761451198 11.9443766577161 12.0207666396953 14.0576046089111 12.19161868856 14.4326639894103 13.5434406457063 11.6685864323104 13.9253044317511 12.9306118983212 12.7157896550104 14.1089567359948 11.7051148409625 12.7962508927625 11.5427366625419 13.2070904807597 15.2962740634992 12.1668431323382 11.2348372241898 13.5606879833275 13.46113154778 12.1723607310446 13.0105375622221 11.7404434345504 10.6902161467176
1988 13.0472453568619 12.2806372991033 12.7592822432911 12.5305409798773 15.0731365399615 12.7263623433318 13.1180139322665 11.8842545111487 14.272944898629 13.623539796974 12.4988318077222 11.5941920387986 14.0073731209254 13.5567463056699 12.6703473960423 12.9820018553172 13.1462048962098 14.2805613169729 12.5428519778498 13.1878458279004 13.6844458348932 13.724229350938 13.1258054466812 12.8501818812256 13.317155189683 11.8172950235827 12.2828947881315 12.0204596779818 12.0287028087102 14.0467421130171 12.1996017543999 14.4579448020122 13.5924107556931 11.6553707604528 13.9139286305355 12.9656300320324 12.782289863963 14.124355361763 11.7424645213733 12.8983019049294 11.5551321004326 13.2212852091531 15.3523672398736 12.1896332562034 11.271477912858 13.5964524000543 13.5084064257913 12.2123429460435 13.0794642270889 11.7651927724509 10.6623054255857
1989 13.098078881523 12.3541736342509 12.7733929629226 12.5262085972855 15.0878794957644 12.67811793916 13.1399282085838 11.8610015444136 14.2695981971446 13.5889888069535 12.5428948209157 11.6597666381822 13.9156427296205 13.5829351663574 12.6523341478309 12.9321854399126 13.1766886706343 14.2713265164992 12.4610481416939 13.2567544004407 13.6967945872593 13.7241351268731 13.1302541631071 12.8091857033861 13.3103306338684 11.874967977703 12.2400295290084 12.0737405334811 12.0650619237545 14.0461435929472 12.2027471221016 14.4407139594045 13.5216802907039 11.6793124040643 13.9457999509827 12.9862778686576 12.7744357779373 14.1255911501719 11.632475826874 12.8523509400832 11.5931220069645 13.2484637281007 15.3587253310881 12.1559050331143 11.2590133799844 13.5779231952177 13.5433106820631 12.2532472196222 13.0969635147716 11.7740119903998 10.670651629674
1990 13.0877781437955 12.330544373041 12.757941359373 12.4914432987094 15.0702641153509 12.6964149103548 12.9934749040156 11.8460707448318 14.2650352937974 13.6117798521088 12.5871186869642 11.6963880372251 13.9126091376278 13.6128336291389 12.6277292936364 12.9010880798168 13.1263733268 14.2959792370578 12.4191012124366 13.1340508124793 13.600145426155 13.679185552549 13.1286952884774 12.8334966034708 13.2823558180152 11.8672235865031 12.2318427262237 12.0373876862591 11.9771059224132 13.9361818629965 12.2616634424116 14.3952930525692 13.4812818028554 11.6273785179389 13.9002982978377 12.9732854759197 12.7549625448023 14.0866431907621 11.5572389571126 12.8680283918299 11.5951872471373 13.223630325837 15.3823594990269 12.1719262362931 11.1847269068812 13.5313529340075 13.5454195187095 12.2442495448685 13.0788774210198 11.7191588418105 10.5443672801596
1991 13.0953066224303 12.2291786342446 12.7790840248501 12.4765386177388 14.9959777574273 12.7115067612016 12.9631636391739 11.8432358994776 14.2507998052773 13.5680896828154 12.4934109088864 11.6998613593149 13.8676009845575 13.5720073992693 12.6277719300771 12.8159659263872 13.1191763040773 14.3176769989865 12.373627374081 13.1075359930361 13.5670607370607 13.6816236735886 13.1416953057038 12.8612868834044 13.2714297253222 11.8142885244779 12.2096263237295 12.068974901026 11.8938451163267 13.9343756746264 12.3358193853828 14.3271382599795 13.4680091227213 11.6381827211425 13.8692058153277 12.9798915666502 12.7937065209828 14.0522745287928 11.4685973311207 12.897167721964 11.4870536574027 13.1734385480046 15.3882234883158 12.2326220697637 11.2590133799844 13.5027882458402 13.5433605690952 12.203098226328 13.0785598592231 11.6008356046183 10.4839978084675
1992 13.1064941242396 12.2668807799189 12.8085727570654 12.5128181015165 14.993383710284 12.7396905407963 12.9537340527018 11.9049337683918 14.2652508913223 13.5867009850234 12.5153645348563 11.6848683491858 13.8918528892204 13.5667299169316 12.6604929835487 12.8578716514947 13.1780515999314 14.3701034666214 12.3550226825705 13.1112619843332 13.5513561922211 13.6850350627539 13.197472705177 12.8990148050747 13.30598741893 11.8488618437596 12.2234261978576 12.0941573609017 11.8978953059626 13.9325973513002 12.3564734461977 14.2689394571436 13.5071358622874 11.6752738799312 13.9075326105257 13.057325531625 12.8210204184947 14.0657858910171 11.5569710581089 12.8686755634419 11.5457314166954 13.2386875716911 15.4294624669689 12.214893626036 11.314450135705 13.4940096890332 13.6504531150483 12.1959970568326 13.0743279283658 11.6359127129691 10.4500759947456
